Year,parent_id,id,value,colour
2014,Fishing Gear.Fishing Buoys,Fishing Buoys,0.9545199326221224,#00BFFF
2014,Fishing Gear.Fishing Net & Pieces,Fishing Net & Pieces,4.008983717012915,#00BFFF
2014,Fishing Gear.Fishing Line ( 1 Meter = 1 Piece),Fishing Line ( 1 Meter = 1 Piece),5.154407636159461,#00BFFF
2014,Fishing Gear.Rope (1 Meter = 1 Piece),Rope (1 Meter = 1 Piece),9.067939359910163,#00BFFF
2014,Items Of Local Concern.Foam Pieces,Foam Pieces,167.1083660864683,Items Of Local Concern
2014,Items Of Local Concern.Plastic Pieces,Plastic Pieces,73.5822571588995,Items Of Local Concern
2014,Items Of Local Concern.Rubber Bands,Rubber Bands,5.367770915216171,Items Of Local Concern
2014,Most Likely To Find Items.Beverage Bottles (Glass),Beverage Bottles (Glass),10.926445816956766,Most Likely To Find Items
2014,Most Likely To Find Items.Beverage Bottles (Plastic),Beverage Bottles (Plastic),105.89556428972486,Most Likely To Find Items
2014,Most Likely To Find Items.Beverage Cans,Beverage Cans,11.459854014598541,Most Likely To Find Items
2014,Most Likely To Find Items.Bottle Caps (Metal),Bottle Caps (Metal),4.20550252667041,Most Likely To Find Items
2014,Most Likely To Find Items.Bottle Caps (Plastic),Bottle Caps (Plastic),37.49017405951712,Most Likely To Find Items
2014,Most Likely To Find Items.Cigarette Butts,Cigarette Butts,52.2515440763616,Most Likely To Find Items
2014,Most Likely To Find Items.Cups & Plates (Foam),Cups & Plates (Foam),16.052779337450872,Most Likely To Find Items
2014,Most Likely To Find Items.Cups & Plates (Paper),Cups & Plates (Paper),6.0583941605839415,Most Likely To Find Items
2014,Most Likely To Find Items.Cups & Plates (Plastic),Cups & Plates (Plastic),32.846715328467155,Most Likely To Find Items
2014,"Most Likely To Find Items.Food Wrappers (Candy, Chips, Etc)","Food Wrappers (Candy, Chips, Etc)",65.18248175182481,Most Likely To Find Items
2014,"Most Likely To Find Items.Forks, Knives, Spoons","Forks, Knives, Spoons",11.212801796743403,Most Likely To Find Items
2014,Most Likely To Find Items.Grocery Bags (Plastic),Grocery Bags (Plastic),26.78832116788321,Most Likely To Find Items
2014,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),10.533408197641775,Most Likely To Find Items
2014,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,62.57158899494666,Most Likely To Find Items
2014,Most Likely To Find Items.Paper Bags,Paper Bags,5.626052779337451,Most Likely To Find Items
2014,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,49.69679955081415,Most Likely To Find Items
2014,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),22.083099382369458,Most Likely To Find Items
2014,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),20.943290286355982,Most Likely To Find Items
2014,"Other Trash.Appliances (Fridges, Washers, Etc)","Appliances (Fridges, Washers, Etc)",0.9320606400898372,#C0C0C0
2014,Other Trash.Balloons,Balloons,0.6625491297024144,#C0C0C0
2014,Other Trash.Cigar Tips,Cigar Tips,1.858506457046603,#C0C0C0
2014,Other Trash.Cigarette Lighters,Cigarette Lighters,5.91802358225716,#C0C0C0
2014,Other Trash.Fireworks,Fireworks,0.30320044918585065,#C0C0C0
2014,Other Trash.Tyres,Tyres,1.0275126333520495,#C0C0C0
2014,Packaging Materials.6-Pack Holders,6-Pack Holders,0.2021336327905671,#696969
2014,Packaging Materials.Other Plastic / Foam Packaging,Other Plastic / Foam Packaging,30.988208871420554,#696969
2014,"Packaging Materials.Other Plastic Bottles (Oil, Bleach, Etc)","Other Plastic Bottles (Oil, Bleach, Etc)",8.338012352610892,#696969
2014,Packaging Materials.Strapping Bands,Strapping Bands,4.581695676586187,#696969
2014,Packaging Materials.Tobacco Packaging / Wrappers,Tobacco Packaging / Wrappers,4.1942728804042675,#696969
2014,Personal Hygiene.Condoms,Condoms,0.24705221785513756,#DA70D6
2014,Personal Hygiene.Diapers,Diapers,0.3481190342504211,#DA70D6
2014,Personal Hygiene.Syringes,Syringes,0.291970802919708,#DA70D6
2014,Personal Hygiene.Tampons / Tampon Applicators,Tampons / Tampon Applicators,0.15160022459292533,#DA70D6
2015,Fishing Gear.Fishing Buoys,Fishing Buoys,0.10526315789473684,#00BFFF
2015,Fishing Gear.Fishing Net & Pieces,Fishing Net & Pieces,0.6842105263157895,#00BFFF
2015,Fishing Gear.Fishing Line ( 1 Meter = 1 Piece),Fishing Line ( 1 Meter = 1 Piece),2.1052631578947367,#00BFFF
2015,Fishing Gear.Rope (1 Meter = 1 Piece),Rope (1 Meter = 1 Piece),1.5789473684210527,#00BFFF
2015,Items Of Local Concern.Foam Pieces,Foam Pieces,13.0,Items Of Local Concern
2015,Items Of Local Concern.Plastic Pieces,Plastic Pieces,9.631578947368421,Items Of Local Concern
2015,Items Of Local Concern.Rubber Bands,Rubber Bands,1.3157894736842104,Items Of Local Concern
2015,Most Likely To Find Items.Beverage Bottles (Glass),Beverage Bottles (Glass),0.6842105263157895,Most Likely To Find Items
2015,Most Likely To Find Items.Beverage Bottles (Plastic),Beverage Bottles (Plastic),1.6842105263157894,Most Likely To Find Items
2015,Most Likely To Find Items.Beverage Cans,Beverage Cans,0.15789473684210525,Most Likely To Find Items
2015,Most Likely To Find Items.Bottle Caps (Metal),Bottle Caps (Metal),1.0526315789473684,Most Likely To Find Items
2015,Most Likely To Find Items.Bottle Caps (Plastic),Bottle Caps (Plastic),8.0,Most Likely To Find Items
2015,Most Likely To Find Items.Cigarette Butts,Cigarette Butts,36.94736842105264,Most Likely To Find Items
2015,Most Likely To Find Items.Cups & Plates (Foam),Cups & Plates (Foam),0.3684210526315789,Most Likely To Find Items
2015,Most Likely To Find Items.Cups & Plates (Paper),Cups & Plates (Paper),0.42105263157894735,Most Likely To Find Items
2015,Most Likely To Find Items.Cups & Plates (Plastic),Cups & Plates (Plastic),0.631578947368421,Most Likely To Find Items
2015,"Most Likely To Find Items.Food Wrappers (Candy, Chips, Etc)","Food Wrappers (Candy, Chips, Etc)",5.894736842105263,Most Likely To Find Items
2015,"Most Likely To Find Items.Forks, Knives, Spoons","Forks, Knives, Spoons",1.3157894736842104,Most Likely To Find Items
2015,Most Likely To Find Items.Grocery Bags (Plastic),Grocery Bags (Plastic),1.631578947368421,Most Likely To Find Items
2015,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),1.3157894736842104,Most Likely To Find Items
2015,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,1.8947368421052633,Most Likely To Find Items
2015,Most Likely To Find Items.Paper Bags,Paper Bags,0.7894736842105263,Most Likely To Find Items
2015,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,4.2105263157894735,Most Likely To Find Items
2015,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),0.7368421052631579,Most Likely To Find Items
2015,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),0.21052631578947367,Most Likely To Find Items
2015,"Other Trash.Appliances (Fridges, Washers, Etc)","Appliances (Fridges, Washers, Etc)",0.0,#C0C0C0
2015,Other Trash.Balloons,Balloons,0.4736842105263158,#C0C0C0
2015,Other Trash.Cigar Tips,Cigar Tips,1.3157894736842104,#C0C0C0
2015,Other Trash.Cigarette Lighters,Cigarette Lighters,0.9473684210526316,#C0C0C0
2015,Other Trash.Fireworks,Fireworks,0.10526315789473684,#C0C0C0
2015,Other Trash.Tyres,Tyres,0.05263157894736842,#C0C0C0
2015,Packaging Materials.6-Pack Holders,6-Pack Holders,0.0,#696969
2015,Packaging Materials.Other Plastic / Foam Packaging,Other Plastic / Foam Packaging,1.3157894736842104,#696969
2015,"Packaging Materials.Other Plastic Bottles (Oil, Bleach, Etc)","Other Plastic Bottles (Oil, Bleach, Etc)",0.05263157894736842,#696969
2015,Packaging Materials.Strapping Bands,Strapping Bands,0.3684210526315789,#696969
2015,Packaging Materials.Tobacco Packaging / Wrappers,Tobacco Packaging / Wrappers,1.2105263157894737,#696969
2015,Personal Hygiene.Condoms,Condoms,0.2631578947368421,#DA70D6
2015,Personal Hygiene.Diapers,Diapers,0.10526315789473684,#DA70D6
2015,Personal Hygiene.Syringes,Syringes,0.0,#DA70D6
2015,Personal Hygiene.Tampons / Tampon Applicators,Tampons / Tampon Applicators,0.0,#DA70D6
2016,Fishing Gear.Fishing Buoys,Fishing Buoys,0.851063829787234,#00BFFF
2016,Fishing Gear.Fishing Net & Pieces,Fishing Net & Pieces,4.116369952236214,#00BFFF
2016,Fishing Gear.Fishing Line ( 1 Meter = 1 Piece),Fishing Line ( 1 Meter = 1 Piece),2.227529309596179,#00BFFF
2016,Fishing Gear.Rope (1 Meter = 1 Piece),Rope (1 Meter = 1 Piece),4.676508901432914,#00BFFF
2016,Items Of Local Concern.Foam Pieces,Foam Pieces,120.72079895788102,Items Of Local Concern
2016,Items Of Local Concern.Plastic Pieces,Plastic Pieces,52.97872340425533,Items Of Local Concern
2016,Items Of Local Concern.Rubber Bands,Rubber Bands,3.2045158488927488,Items Of Local Concern
2016,Most Likely To Find Items.Beverage Bottles (Glass),Beverage Bottles (Glass),5.5145462440295265,Most Likely To Find Items
2016,Most Likely To Find Items.Beverage Bottles (Plastic),Beverage Bottles (Plastic),112.57490230134609,Most Likely To Find Items
2016,Most Likely To Find Items.Beverage Cans,Beverage Cans,5.505861919235779,Most Likely To Find Items
2016,Most Likely To Find Items.Bottle Caps (Metal),Bottle Caps (Metal),3.556231003039514,Most Likely To Find Items
2016,Most Likely To Find Items.Bottle Caps (Plastic),Bottle Caps (Plastic),20.44290056448111,Most Likely To Find Items
2016,Most Likely To Find Items.Cigarette Butts,Cigarette Butts,67.92878853669127,Most Likely To Find Items
2016,Most Likely To Find Items.Cups & Plates (Foam),Cups & Plates (Foam),7.56838905775076,Most Likely To Find Items
2016,Most Likely To Find Items.Cups & Plates (Paper),Cups & Plates (Paper),1.7325227963525838,Most Likely To Find Items
2016,Most Likely To Find Items.Cups & Plates (Plastic),Cups & Plates (Plastic),20.46461137646548,Most Likely To Find Items
2016,"Most Likely To Find Items.Food Wrappers (Candy, Chips, Etc)","Food Wrappers (Candy, Chips, Etc)",32.184107685627446,Most Likely To Find Items
2016,"Most Likely To Find Items.Forks, Knives, Spoons","Forks, Knives, Spoons",6.487190620929223,Most Likely To Find Items
2016,Most Likely To Find Items.Grocery Bags (Plastic),Grocery Bags (Plastic),18.254450716456798,Most Likely To Find Items
2016,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),5.557967867998263,Most Likely To Find Items
2016,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,27.15154146765089,Most Likely To Find Items
2016,Most Likely To Find Items.Paper Bags,Paper Bags,3.782023447676943,Most Likely To Find Items
2016,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,36.57837603126357,Most Likely To Find Items
2016,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),5.931393834129397,Most Likely To Find Items
2016,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),7.207989578810247,Most Likely To Find Items
